label,text,spam_categories,target_Bank Scam,target_Gambling Promotion,target_General Spam,target_Phishing,cleaned_text,nb_label
"Bank Scam, Phishing","Unionbank Alert: May login attempt mula sa bagong device. Kung hindi ikaw ito, i-secure ang account: tinyurl.com/win-today-ph","['Bank Scam', 'Phishing']",1,0,0,1,unionbank alert may login attempt mula bagong device hindi ikaw isecure account urllink,Spam
Phishing,Work from home! Lazada online tasks. P298 per order. Msg us: wa.me/639597845407,['Phishing'],0,0,0,1,work home lazada online task p per order msg u wame,Spam
"Bank Scam, Phishing",GCASH-Center: Final reminder for SIM registration sync: bit.ly/gc-sim-sync,"['Bank Scam', 'Phishing']",1,0,0,1,gcashcenter final reminder sim registration sync urllink,Spam
Ham,"Chikahan with the tropa, pero nabitin sa data? Sagot ka ni TNT with UTANG NA LOAD! Get 200 MB now, at sa next top up na ang bayad Dial *5623# now!",[],0,0,0,0,chikahan tropa pero nabitin data sagot ka ni tnt utang load get mb next top bayad dial,Ham
Phishing,Apple ID: Someone logged in from Singapore. Secure account: bit.ly/secure-ph-496327,['Phishing'],0,0,0,1,apple id someone logged singapore secure account urllink,Spam
Ham,"Hi there! You still have a few days left to grab your FREE 150MB for surfing valid for 2 days! Just load at least P10 one time by 08/14/2025. If you've already claimed your freebie, please disregard this message. REF#: FGTA1 ",[],0,0,0,0,hi still day left grab free mb surfing valid day load least p one time youve already claimed freebie please disregard message ref fgta,Ham
Ham,paki kuha naman sa bag ko,[],0,0,0,0,paki kuha bag,Ham
Ham,"You can win P10,000! Get it by just logging in to your Maya app. 🔥 Earn one raffle entry when you log in and you could be one of the 10 lucky winners!",[],0,0,0,0,win p get logging maya app earn one raffle entry log could one lucky winner,Ham
"Bank Scam, Phishing",Verify your Landbank mobile number to avoid account deletion. Update here: bit.ly/secure-ph-669538,"['Bank Scam', 'Phishing']",1,0,0,1,verify landbank mobile number avoid account deletion update urllink,Spam
"Bank Scam, Phishing",Earn P100 GCash when you complete our short mall survey. Valid responses only. https://boomerang.mychoicesurveys.com/#/tryhoptop/68b12c8e3ad7a2bca0e48bc8,"['Bank Scam', 'Phishing']",1,0,0,1,earn p gcash complete short mall survey valid response urllink,Spam
Ham,bumili kayo pulutan dyan bago pumunta,[],0,0,0,0,bumili pulutan dyan bago pumunta,Ham
"Gambling Promotion, Phishing",Happy Jackpot Slot Weekend at GoJackpotCity! Join MADNESS SLOT to win 4777 prizes & get 53% extra deposit bonus. New users get 153% bonus. Visit GoJpluck.com,"['Gambling Promotion', 'Phishing']",0,1,0,1,happy jackpot slot weekend gojackpotcity join madness slot win prize get extra deposit bonus new user get bonus visit gojpluckcom,Spam
Ham,"To Activate SPayLater, enter verification code: 203407. Valid for 15 mins. NEVER share this code with others under any circumstances. PW42aWeqbj5",[],0,0,0,0,activate spaylater enter verification code valid min never share code others circumstance pwaweqbj,Ham
Ham,21/05 20:22: P50.00 loaded to 09123299877 from 09478580716 for 1 year. Ref:8EL3JJQ0KT !Use *123# or smrt.ph/GigaLifeApp to get DOUBLE GIGA: VIDEO OR STORIES!,[],0,0,0,0,p loaded year refeljjqkt use smrtphgigalifeapp get double giga video story,Ham
Ham,"[Binance] Verification code: 541921. If this was not you, please inform Support. Beware of scam calls and SMS phishing. Verify sources with Binance Verify.",[],0,0,0,0,binance verification code please inform support beware scam call sm phishing verify source binance verify,Ham
Phishing,"Make Friday fabulous! Claim 6,888p + 6,888p at GJP PH's Payday Blast. New members score 3000p at GJBets.de . Join the fun now!",['Phishing'],0,0,0,1,make friday fabulous claim p p gjp ph payday blast new member score p gjbetsde join fun,Spam
Phishing,7-Eleven: Claim ur 500 PHP gift today for loyalty. Click: bit.ly/ph-84437,['Phishing'],0,0,0,1,eleven claim ur php gift today loyalty click urllink,Spam
Phishing,7-Eleven: Claim ur 500 PHP gift today for loyalty. Click: bit.ly/ph-11817,['Phishing'],0,0,0,1,eleven claim ur php gift today loyalty click urllink,Spam
"Gambling Promotion, Phishing",Looking for extra income? Amazon PH needs 50 people for remote work. Register: bit.ly/secure-ph-898934,"['Gambling Promotion', 'Phishing']",0,1,0,1,looking extra income amazon ph need people remote work register urllink,Spam
Phishing,"Hi, I'm recruiter for TikTok Shop. Your profile is selected for 500-1500 pay. Info: bit.ly/secure-ph-334450",['Phishing'],0,0,0,1,hi im recruiter tiktok shop profile selected pay info urllink,Spam
Phishing,Facebook Warning: Your page will be disabled. Appeal now at bit.ly/secure-ph-309818,['Phishing'],0,0,0,1,facebook warning page disabled appeal urllink,Spam
Ham,25/05 13:29: P50.00 loaded to 09123299877 from 09483015715 for 1 year. Ref:8EP0K2IFKK !Use *123# or smrt.ph/GigaLifeApp to get DOUBLE GIGA: VIDEO OR STORIES!,[],0,0,0,0,p loaded year refepkifkk use smrtphgigalifeapp get double giga video story,Ham
Ham,Tara library gawa tayo capstone,[],0,0,0,0,tara library gawa capstone,Ham
"Bank Scam, Gambling Promotion, Phishing",New member bonus from OKBET! Deposit 100 get 300. Mabilis payout via Gcash: bit.ly/secure-ph-971439,"['Bank Scam', 'Gambling Promotion', 'Phishing']",1,1,0,1,new member bonus okbet deposit get mabilis payout via gcash urllink,Spam
Ham,"Maaring nakatanggap kayo ng text tungkol sa scheduled network maintenance activity na mangyayari January 19, 2023. Nais naming ipaalam sa iyo na hindi matutuloy ang activity sa nakatakdang oras. Sasabihan namin kayo ulit pag matutuloy ito sa ibang schedule. Salamat sa iyong pag-unawa.",[],0,0,0,0,maaring nakatanggap text tungkol scheduled network maintenance activity mangyayari january nais naming ipaalam hindi matutuloy activity nakatakdang oras sasabihan namin ulit pag matutuloy ibang schedule salamat iyong pagunawa,Ham
Ham,"[TikTok] 835342 verification code, valid ng 5 minuto.DaewVlZQ+ns ",[],0,0,0,0,tiktok verification code valid minutodaewvlzqns,Ham
Phishing,"Napaka ganda ng pasok ng Weekend! Dahil dito kay antiviruspedia.net/Live napaka daming B0nu$ naghihintay sayo, hindi lang yan dahil chance mo pang maging VIP!",['Phishing'],0,0,0,1,napaka ganda pasok weekend dahil dito antiviruspedianetlive napaka daming bnu naghihintay sayo hindi dahil chance pang maging vip,Spam
"Gambling Promotion, Phishing",Sali na sa pinaka-malambot na slots sa OKBET. Dito ang daming nananalo: bit.ly/secure-ph-552015,"['Gambling Promotion', 'Phishing']",0,1,0,1,sali pinakamalambot slot okbet dito daming nananalo urllink,Spam
Phishing,Ur order #3933 is out for delivery. Tracking link: bit.ly/ph-55688,['Phishing'],0,0,0,1,ur order delivery tracking link urllink,Spam
Phishing,Part-time Job hiring! Shopee is looking for staff. Earn 2k-5k daily. Apply: bit.ly/secure-ph-800996,['Phishing'],0,0,0,1,parttime job hiring shopee looking staff earn kk daily apply urllink,Spam
"Gambling Promotion, Phishing",LUCKY-SLOTS: 100% bonus on your first deposit. Play now: lucky-slots-online.ph,"['Gambling Promotion', 'Phishing']",0,1,0,1,luckyslots bonus first deposit play luckyslotsonlineph,Spam
"Gambling Promotion, Phishing",Sali na sa pinaka-malambot na slots sa BINGOPLUS. Dito ang daming nananalo: bit.ly/secure-ph-209060,"['Gambling Promotion', 'Phishing']",0,1,0,1,sali pinakamalambot slot bingoplus dito daming nananalo urllink,Spam
Phishing,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16,['Phishing'],0,0,0,1,cd u congratulation ur awarded cd gift voucher gift guaranteed freeentry wkly draw xt music tncs urllink,Spam
Ham,Wala na daw silang hotdog,[],0,0,0,0,wala daw silang hotdog,Ham
"Gambling Promotion, Phishing",SIM Registration: Huling babala! Register your SIM at bit.ly/secure-ph-759479 to avoid deactivation.,"['Gambling Promotion', 'Phishing']",0,1,0,1,sim registration huling babala register sim urllink avoid deactivation,Spam
Ham,27/04 07:33: P20.00 loaded to 09129094503 for 1 year. Ref:9DR4W53MQ6. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp,[],0,0,0,0,p loaded year refdrwmq use gigalife app best promos deal smrtphgigalifeapp,Ham
"Gambling Promotion, Phishing",WIN-PH: Daily 50 pesos free! Register na and start winning. Laro na d2: jili-bet.ph/register,"['Gambling Promotion', 'Phishing']",0,1,0,1,winph daily peso free register start winning laro jilibetphregister,Spam
Spam,Income ba? Mag DOWNLOAD APP para maka received ng up to 688 free. + 177: jl77.tv,['General Spam'],0,0,1,0,income mag download app maka received free jltv,Spam
Ham,gusto ko ng slurpee,[],0,0,0,0,gusto slurpee,Ham
Ham,"Did you request to SEND MONEY to PR*****S JA*E T.'s GCash number, 09691865945 with amount of PHP 170.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 415051.",[],0,0,0,0,request send money pr jae t gcash number amount php dont enter otp site send anyone scam requested otp,Ham
Phishing,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,['Phishing'],0,0,0,1,link picture sent also use urllink,Spam
Ham,Claim your FREEBIE of 350MB for surfing valid for 3 days now! Simply load at least P50 one time before 10/24/2023. REF#: FGRN44 ,[],0,0,0,0,claim freebie mb surfing valid day simply load least p one time ref fgrn,Ham
Ham,You have received P200.00 GCash from ECPay w/ MSG - Success. Your new balance is P239.78 04-29-24 1:54PM. Ref no. 0017103994397.,[],0,0,0,0,received p gcash ecpay w msg success new balance p pm ref,Ham
Ham,"Your One-Time Password (OTP) is 713329, please enter within 5 minutes. Call BDO Customer Contact Center if you did not login to your account. Ref.No.456884",[],0,0,0,0,onetime password otp please enter within minute call bdo customer contact center login account refno,Ham
"Bank Scam, Phishing",BPI: Your account is restricted. Please verify identity now to avoid deactivation: wa.me/63912345678,"['Bank Scam', 'Phishing']",1,0,0,1,bpi account restricted please verify identity avoid deactivation wame,Spam
Ham,delete mo na yung mga lumang files dyan,[],0,0,0,0,delete lumang file dyan,Ham
Ham,"Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the GigaLife App! Click ""Don't Miss Out"" NOW on smrt.ph/GigaLifeApp for MORE SURPRISES!",[],0,0,0,0,get exclusive promos every week tap gigalife app click dont miss smrtphgigalifeapp surprise,Ham
Phishing,Part-time Job hiring! Amazon PH is looking for staff. Earn 500-1500 daily. Apply: bit.ly/secure-ph-991394,['Phishing'],0,0,0,1,parttime job hiring amazon ph looking staff earn daily apply urllink,Spam
Ham,What you doing?how are you?,[],0,0,0,0,doinghow,Ham
"Gambling Promotion, Phishing",Winner! Chosen mobile # for P300k Globe Rewards lucky draw. Claim at 09737383773.,"['Gambling Promotion', 'Phishing']",0,1,0,1,winner chosen mobile pk globe reward lucky draw claim,Spam
Ham,"Happy payday, GOMO Fam! Wanna get more out of Shopee's 7.30 Payday Sale? Convert your 3.5GB to a P50 Shopee voucher! Just open your GOMO PH app and go to the 'Mo Creds tab to start swappin'. No advisories? Text OFF to 2686 for free.",[],0,0,0,0,happy payday gomo fam wanna get shopees payday sale convert gb p shopee voucher open gomo ph app go cred tab start swappin advisory text free,Ham
Phishing,Win a £1000 cash prize or a prize worth £5000,['Phishing'],0,0,0,1,win cash prize prize worth,Spam
Spam,"BANCO DE ORO: PLEASE BE ADVISED THAT YOUR ACC0UNT IS TEMPORARILY ON-HOLD, DUE TO SECURITY PURPOSES.   Kindly Visit: shorten.is/OnlineBDOVerify",['General Spam'],0,0,1,0,banco de oro please advised accunt temporarily onhold due security purpose kindly visit shortenisonlinebdoverify,Spam
Ham,wala ba tayong internet ngayon,[],0,0,0,0,wala tayong internet ngayon,Ham
Phishing,Apple ID: Someone logged in from Hong Kong. Secure account: bit.ly/secure-ph-730954,['Phishing'],0,0,0,1,apple id someone logged hong kong secure account urllink,Spam
Phishing,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,['Phishing'],0,0,0,1,today voda number ending selected receive award match please call quoting claim code standard rate app,Spam
Ham,"Sorry, you still have an outstanding loan of P6 for your loan (CALLSOS + P1 service fee) made last 02/22/23. To use the Loan service again, please buy enough load to pay for this. Thank you.",[],0,0,0,0,sorry still outstanding loan p loan callsos p service fee made last use loan service please buy enough load pay thank,Ham
"Gambling Promotion, Phishing","<NAME>., Sama na sa saya! 2000 bonus + 3% deposit Bonus mula sa Sugar Play! Mag-sign up at manalo dito! sgbetgo3.com","['Gambling Promotion', 'Phishing']",0,1,0,1,name sama saya bonus deposit bonus mula sugar play magsign manalo dito sgbetgocom,Spam
Ham,"[Binance] Verification code: 284670. If this was not you, please inform Support. Beware of scam calls and SMS phishing. Verify sources with Binance Verify.",[],0,0,0,0,binance verification code please inform support beware scam call sm phishing verify source binance verify,Ham
Ham,pabuhat naman sa rank,[],0,0,0,0,pabuhat rank,Ham
Gambling Promotion,Join us this Saturday and win up to 999p Bonus! Don't miss out!  WinPnow.eu  Spin now at WinningPlus and win a Xiaomi 14! Don't miss out!,['Gambling Promotion'],0,1,0,0,join u saturday win p bonus dont miss winpnoweu spin winningplus win xiaomi dont miss,Spam
Ham,uy san ka na,[],0,0,0,0,uy san ka,Ham
"Bank Scam, Phishing","PNB Alert! Someone tried to access your wallet from China. If not you, block: bit.ly/secure-ph-374757","['Bank Scam', 'Phishing']",1,0,0,1,pnb alert someone tried access wallet china block urllink,Spam
Phishing,Work from home! YouTube Liker online tasks. P92 per order. Msg us: wa.me/639255095924,['Phishing'],0,0,0,1,work home youtube liker online task p per order msg u wame,Spam
Phishing,SIM Registration: Your SIM is not yet registered. Avoid blockng: bit.ly/ph-70804,['Phishing'],0,0,0,1,sim registration sim yet registered avoid blockng urllink,Spam
"Gambling Promotion, Phishing",Withdraw your winnings in 2 mins! Join JILI-BET now and get 437 free: bit.ly/secure-ph-221940,"['Gambling Promotion', 'Phishing']",0,1,0,1,withdraw winning min join jilibet get free urllink,Spam
"Gambling Promotion, Phishing",Withdraw your winnings in 2 mins! Join JILI-BET now and get 497 free: bit.ly/secure-ph-390922,"['Gambling Promotion', 'Phishing']",0,1,0,1,withdraw winning min join jilibet get free urllink,Spam
Ham,"Hi Mr/Ms <NAME>, RDCN 25594 can be claimed at any RDPawnshop, Penbank, Villarica & TrueMoney branches. Please present valid ID. Thank you!",[],0,0,0,0,hi mrms name rdcn claimed rdpawnshop penbank villarica truemoney branch please present valid id thank,Ham
Phishing,Shopee Xpress: Parcel held at distribution center. Pay customs fee: bit.ly/secure-ph-938206,['Phishing'],0,0,0,1,shopee xpress parcel held distribution center pay custom fee urllink,Spam
Ham,"Did you request to SEND MONEY to PR*****S JA*E T.'s GCash number, 09691865945 with amount of PHP 170.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 257104.",[],0,0,0,0,request send money pr jae t gcash number amount php dont enter otp site send anyone scam requested otp,Ham
Ham,"Manage accounts and transactions your way with BDO Online! Add, remove, or group accounts, update your profile, save and manage Favorites, schedule transactions and more! Log in now!",[],0,0,0,0,manage account transaction way bdo online add remove group account update profile save manage favorite schedule transaction log,Ham
Ham,Bili ka muna uling,[],0,0,0,0,bili ka muna uling,Ham
"Gambling Promotion, Phishing",Ur the lucky winner of NMAX Motorcycle from Globe Rewards. Valid for 24hrs. Pls call 09268952558.,"['Gambling Promotion', 'Phishing']",0,1,0,1,ur lucky winner nmax motorcycle globe reward valid hr pls call,Spam
Ham,"ADVISORY: Update your BDO Pay app on December 3, 2021. Enjoy new features like Send Money via InstaPay. More details about the app upgrade in your email.",[],0,0,0,0,advisory update bdo pay app december enjoy new feature like send money via instapay detail app upgrade email,Ham
Phishing,HIRING: Online customer service. P20k monthly. Homebased. Apply: bit.ly/ph-cs-job,['Phishing'],0,0,0,1,hiring online customer service pk monthly homebased apply urllink,Spam
Ham,Isang linggo pa bago magka-budget? Mag TNT UTANG NA LOAD ka muna ng up to 1 GB! Dial *5623# NOW!,[],0,0,0,0,isang linggo bago magkabudget mag tnt utang load ka muna gb dial,Ham
Ham,"It's not too late to claim your FREEBIE of unli allnet texts, unli calls to Globe/TM and 50MB for surfing, valid for 3 days. Simply load a total of P50 by 04/26/2025. If you've already claimed your freebie, please disregard this message. REF#: FGRN14 ",[],0,0,0,0,late claim freebie unli allnet text unli call globetm mb surfing valid day simply load total p youve already claimed freebie please disregard message ref fgrn,Ham
Ham,Use 453344 for two-factor authentication on Facebook.,[],0,0,0,0,use twofactor authentication facebook,Ham
Ham,"good morning po, update ko lang po sahod ko for june 1-15, dumating na po kasi yung june 16-30 pero yung june 1-15 wala pa po. Thank you po ",[],0,0,0,0,good morning update sahod june dumating kasi june pero june wala thank,Ham
Ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),[],0,0,0,0,nice line said broken heart plz dont cum time infront wise trust u good,Ham
"Bank Scam, Phishing","GCASH Alert: May login attempt mula sa bagong device. Kung hindi ikaw ito, i-secure ang account: bit.ly/update-ph-2025","['Bank Scam', 'Phishing']",1,0,0,1,gcash alert may login attempt mula bagong device hindi ikaw isecure account urllink,Spam
Ham,ang mahal dun sa iba na lang,[],0,0,0,0,mahal dun iba,Ham
Ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,[],0,0,0,0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,Ham
Ham,text mo ko pag nakarating ka na,[],0,0,0,0,text pag nakarating ka,Ham
"Gambling Promotion, Phishing",Withdraw your winnings in 2 mins! Join JILI-BET now and get 909 free: bit.ly/secure-ph-135618,"['Gambling Promotion', 'Phishing']",0,1,0,1,withdraw winning min join jilibet get free urllink,Spam
Ham,"Starting June 1, 2021, the validity and expiration terms of GigaPoints will be updated. To know more, visit smrt.ph/gigapoints",[],0,0,0,0,starting june validity expiration term gigapoints updated know visit smrtphgigapoints,Ham
"Gambling Promotion, Phishing",Ur the lucky winner of iPad Air from Smart GigaLife. Valid for 24hrs. Pls call 09839726159.,"['Gambling Promotion', 'Phishing']",0,1,0,1,ur lucky winner ipad air smart gigalife valid hr pls call,Spam
Ham,"Hi! Your exclusive Combo Promo has expired. Regular rates will now apply unless registered to a promo. To know more about promos, dial *143#. To customize your own promo, just dial *143# and choose GoSAKTO. ",[],0,0,0,0,hi exclusive combo promo expired regular rate apply unless registered promo know promos dial customize promo dial choose gosakto,Ham
"Gambling Promotion, Phishing",Withdraw your winnings in 2 mins! Join MEGA-PANALO now and get 737 free: bit.ly/secure-ph-892855,"['Gambling Promotion', 'Phishing']",0,1,0,1,withdraw winning min join megapanalo get free urllink,Spam
Ham,"Did you request to SEND MONEY to SH*******E AN****E M.'s GCash number, 09559863121 with amount of PHP 70.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 878631.",[],0,0,0,0,request send money ane m gcash number amount php dont enter otp site send anyone scam requested otp,Ham
Ham,"SHOPEE: TO UPDATE PHONE NUMBER, use 197098. Valid for 15 mins. NEVER share this code with others, including Shopee staff.",[],0,0,0,0,shopee update phone number use valid min never share code others including shopee staff,Ham
Ham,morning ,[],0,0,0,0,morning,Ham
Ham,"Christopher, we were unable to deliver your package. Follow the link to schedule a new delivery date: https://r2m.in/xDC_xr",[],0,0,0,0,christopher unable deliver package follow link schedule new delivery date urllink,Ham
Ham,You have received PHP 1000.00 of GCash from PA****E T. 09076494802 w/ MSG: . Your new balance is PHP 1010.77. Ref. No. 5009232742846.,[],0,0,0,0,received php gcash pae w msg new balance php ref,Ham
Ham,94362 is your Facebook confirmation code,[],0,0,0,0,facebook confirmation code,Ham
Ham,wag ka maingay baka mahuli tayo,[],0,0,0,0,wag ka maingay baka mahuli,Ham
Ham,Seen na lang ako palagi,[],0,0,0,0,seen ako palagi,Ham
Phishing,Log in at forward sa FB para makakuha ng P38 ng libre cj78s.loan,['Phishing'],0,0,0,1,log forward fb makakuha p libre cjsloan,Spam
"Bank Scam, Phishing",Your Security Bank credit card has been used for 1 Million. Report if unauthorized: bit.ly/secure-ph-165151,"['Bank Scam', 'Phishing']",1,0,0,1,security bank credit card used million report unauthorized urllink,Spam
"Gambling Promotion, Phishing",Jackpot winner of P300k in P0BWC! Be next. Register: bit.ly/ph-70332,"['Gambling Promotion', 'Phishing']",0,1,0,1,jackpot winner pk pbwc next register urllink,Spam
Gambling Promotion,slotsph.tv/law Your chance for bigger wins starts with a free deposit. Sign up now and enjoy your bonus.,['Gambling Promotion'],0,1,0,0,slotsphtvlaw chance bigger win start free deposit sign enjoy bonus,Spam
"Gambling Promotion, Phishing",777PUB: Free 100 credits! Register na & get free credits. Laro na: bit.ly/ph-99461,"['Gambling Promotion', 'Phishing']",0,1,0,1,pub free credit register get free credit laro urllink,Spam
Ham,What Today-sunday..sunday is holiday..so no work..,[],0,0,0,0,todaysundaysunday holidayso work,Ham
Phishing,Netflix PH: Your membership is on hold. Update payment to continue: bit.ly/secure-ph-765109,['Phishing'],0,0,0,1,netflix ph membership hold update payment continue urllink,Spam
Ham,"To Activate SPayLater, enter verification code: 281189. Valid for 15 mins. NEVER share this code with others under any circumstances. PW42aWeqbj5",[],0,0,0,0,activate spaylater enter verification code valid min never share code others circumstance pwaweqbj,Ham
Phishing,"17v7sf.bid Makipag-ugnayan sa CSR, ibahagi ang grupo, makatanggap ng 18p nang libre, at manalo ng grand prize na 200K",['Phishing'],0,0,0,1,vsfbid makipagugnayan csr ibahagi grupo makatanggap p nang libre manalo grand prize k,Spam
Ham,"847982 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW",[],0,0,0,0,authentication code protection share code anyone yyafcynqsw,Ham
Ham,"Your One-time PIN is 740171. Please enter this code within 5 minutes. In case you didn't request for an OTP, simply ignore this message. Have a wonderful day!",[],0,0,0,0,onetime pin please enter code within minute case didnt request otp simply ignore message wonderful day,Ham
Ham,nawala contacts ko sa phone,[],0,0,0,0,nawala contact phone,Ham
Ham,pahiram muna ng toothpaste,[],0,0,0,0,pahiram muna toothpaste,Ham
"Gambling Promotion, Phishing",Your 500.00 credit will expire in 2 hours. PAGCOR has given approval. Take action now. https://bit.ly/4712UOi,"['Gambling Promotion', 'Phishing']",0,1,0,1,credit expire hour pagcor given approval take action urllink,Spam
Ham,Uminom ka ng maraming tubig,[],0,0,0,0,uminom ka maraming tubig,Ham
Ham,"You have successfully registered to GoUNLI20 now with ALLNET calls. You can now enjoy your unli calls and texts to all networks and 50MB of mobile data, valid for 1 day. Access the GlobeOne app to manage your promo. Subject to Globe Fair Use Policy. For info, visit the Fair Use Policy page on the Globe website. ",[],0,0,0,0,successfully registered gounli allnet call enjoy unli call text network mb mobile data valid day access globeone app manage promo subject globe fair use policy info visit fair use policy page globe website,Ham
Ham,Send Money to your friends and loved ones via InstaPay with ZERO TRANSFER FEES this holiday season. Make the switch to the new BDO Online app now!,[],0,0,0,0,send money friend loved one via instapay zero transfer fee holiday season make switch new bdo online app,Ham
Phishing,Withdraw your winnings in 2 mins! Join WIN-PH now and get 281 free: bit.ly/secure-ph-203889,['Phishing'],0,0,0,1,withdraw winning min join winph get free urllink,Spam
